CHEMICAL,CAS#,Formula,MolecularWeight,C_atoms,Carbon_Fraction
m-Dinitrobenzene,99-65-0,C6H4N2O4,168.11,6,42.87
n-Butyl alcohol,71-36-3,C4H10O,74.12,4,64.82
n-Hexane,110-54-3,C6H14,86.18,6,83.62
o-Dinitrobenzene,528-29-0,C6H4N2O4,168.11,6,42.87
o-Toluidine,95-53-4,C7H9N,107.15,7,78.47
"p-(1,1,3,3-Tetramethylbutyl)phenol",140-66-9,C14H22O,206.32,14,81.5
p-Dinitrobenzene,100-25-4,C6H4N2O4,168.11,6,42.87
p-Phenylenediamine,106-50-3,C6H8N2,108.14,6,66.64
sec-Butyl alcohol,78-92-2,C4H10O,74.12,4,64.82
tert-Butyl alcohol,75-65-0,C4H10O,74.12,4,64.82
"trans-1,3-Dichloropropene",10061-02-6,C3H4Cl2,110.97,3,32.47
"trans-1,4-Dichloro-2-butene",110-57-6,C4H6Cl2,124.99,4,38.44
